Conf;Ed;Paper;URL;Code;Suspicious;Live;Ref;DOI;Type;Validated
ICSE;2014;p1-murphyhill.pdf;http://dx.doi.org/10.1145/2568225.2568226;403;false;false;false;true;other;false
ICSE;2014;p1-murphyhill.pdf;http://people.engr.ncsu.edu/ermurph3/experiments/Games.pdf;200;false;true;false;false;other;false
ICSE;2014;p1-murphyhill.pdf;http://www.linkedin.com;200;false;true;false;false;other;false
ICSE;2014;p1-murphyhill.pdf;http://qualyzer.bitbucket.org;200;false;true;false;false;other;false
ICSE;2014;p1-murphyhill.pdf;http://ea-spouse.livejournal.com/274.html;200;false;true;false;false;other;false
ICSE;2014;p117-salay.pdf;http://dx.doi.org/10.1145/2568225.2568267;403;false;false;false;true;other;false
ICSE;2014;p117-salay.pdf;http://www.cs.colostate.edu/;200;false;true;true;false;other;false
ICSE;2014;p117-salay.pdf;http://www.cs.colostate.edu/remodd/v1/content/;404;false;false;true;false;other;false
ICSE;2014;p164-lin.pdf;http://dx.doi.org/10.1145/2568225.2568298;403;false;false;false;true;other;false
ICSE;2014;p164-lin.pdf;http:;404;false;false;false;false;other;false
ICSE;2014;p199-wagstrom.pdf;http://dx.doi.org/10.1145/2568225.2568279;403;false;false;false;true;other;false
ICSE;2014;p199-wagstrom.pdf;http://agilemanifesto.org/principles.html;200;false;true;true;false;other;false
ICSE;2014;p199-wagstrom.pdf;http://statnet.org/;200;false;true;true;false;other;false
ICSE;2014;p199-wagstrom.pdf;http://zachholman.com/posts/how-github-works/;200;false;true;true;false;github;false
ICSE;2014;p211-singer.pdf;http://dx.doi.org/10.1145/2568225.2568305;403;false;false;false;true;other;false
ICSE;2014;p24-ralph.pdf;http://dx.doi.org/10.1145/2568225.2568261;403;false;false;false;true;other;false
ICSE;2014;p24-ralph.pdf;http://dx.doi.org/10.1145/2568225.2568261;403;false;false;false;true;other;false
ICSE;2014;p266-kaleeswaran.pdf;http://dx.doi.org/10.1145/2568225.2568258;403;false;false;false;true;other;false
ICSE;2014;p288-arzt.pdf;http://dx.doi.org/10.1145/2568225.2568243;403;false;false;false;true;other;false
ICSE;2014;p288-arzt.pdf;http://dx.doi.org/10.1145/2568225.2568243;403;false;false;false;true;other;false
ICSE;2014;p288-arzt.pdf;http://bodden.de/pubs/TUD-CS-2013-0253.pdf;200;false;true;true;false;other;false
ICSE;2014;p288-arzt.pdf;http://www.bodden.de/pubs/TUD-CS-2013-0113.pdf;200;false;true;true;false;other;false
ICSE;2014;p288-arzt.pdf;http://www.junit.org;200;false;true;true;false;academic;false
ICSE;2014;p299-filieri.pdf;http://dx.doi.org/10.1145/2568225.2568272;403;false;false;false;true;other;false
ICSE;2014;p299-filieri.pdf;http:;404;false;false;false;false;other;false
ICSE;2014;p322-brindescu.pdf;http://dx.doi.org/10.1145/2568225.2568322;403;false;false;false;true;other;false
ICSE;2014;p322-brindescu.pdf;http://cope.eecs.oregonstate.edu/VCStudy;200;false;true;false;false;other;false
ICSE;2014;p322-brindescu.pdf;http://cope.eecs.oregonstate.edu/VCStudy/;200;false;true;false;false;other;false
ICSE;2014;p322-brindescu.pdf;http://cvs.nongnu.org/;200;false;true;true;false;other;false
ICSE;2014;p322-brindescu.pdf;http://git-scm.com/;200;false;true;true;false;other;false
ICSE;2014;p322-brindescu.pdf;https://github.com/kevinsawicki/gitective;200;false;true;true;false;github;false
ICSE;2014;p322-brindescu.pdf;http://www.github.com/;200;false;true;true;false;github;false
ICSE;2014;p322-brindescu.pdf;http:/www.github.com/caiusb/gitsvn;404;false;false;true;false;github;false
ICSE;2014;p322-brindescu.pdf;http://www.sourceforge.net/;200;false;true;true;false;other;false
ICSE;2014;p322-brindescu.pdf;http://srda.cse.nd.edu/;200;false;true;true;false;other;false
ICSE;2014;p322-brindescu.pdf;http://subversion.tigris.org/;200;false;true;true;false;other;false
ICSE;2014;p322-brindescu.pdf;https://github.com/nirvdrum/svn2git;200;false;true;true;false;github;false
ICSE;2014;p322-brindescu.pdf;http://tiny.cc/VCStudy;404;false;false;true;false;other;false
ICSE;2014;p322-brindescu.pdf;https://www.readwriteweb.com/hack/2011/06/;404;false;false;true;false;other;false
ICSE;2014;p356-tsay.pdf;http://dx.doi.org/10.1145/2568225.2568315;403;false;false;false;true;other;false
ICSE;2014;p356-tsay.pdf;https://github.com/blog/1724-10-million-repositories;200;false;true;true;false;github;false
ICSE;2014;p356-tsay.pdf;https://wiki.gnome.org/Foundation/Charter;200;false;true;true;false;other;false
ICSE;2014;p356-tsay.pdf;http://www.githubarchive.org/;200;false;true;true;false;github;false
ICSE;2014;p356-tsay.pdf;http://github.com;200;false;true;true;false;github;false
ICSE;2014;p356-tsay.pdf;http://www.apache.org/foundation/how-it-works.html;200;false;true;true;false;other;false
ICSE;2014;p356-tsay.pdf;http://www.mozilla.org/en-US/about/governance/;200;false;true;true;false;other;false
ICSE;2014;p390-rodeghero.pdf;http://dx.doi.org/10.1145/2568225.2568247;403;false;false;false;true;other;false
ICSE;2014;p390-rodeghero.pdf;http://www3.nd.edu/~prodeghe/projects/eyesum/;200;false;true;false;false;other;false
ICSE;2014;p402-fritz.pdf;http://dx.doi.org/10.1145/2568225.2568266;403;false;false;false;true;other;false
ICSE;2014;p402-fritz.pdf;http://research.microsoft.com/apps/pubs/?id=209878;200;false;true;false;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http://dx.doi.org/10.1145/2568225.2568271;403;false;false;false;true;other;false
ICSE;2014;p435-inozemtseva.pdf;http://poi.apache.org;200;false;true;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;https://code.google.com/p/closure-compiler/;200;false;true;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http://codecover.org/;200;false;true;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http://coverlipse.sourceforge.net/;200;false;true;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http:;404;false;false;false;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http://hsqldb.org;200;false;true;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http://jfree.org/jfreechart;200;false;true;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http://joda-time.sourceforge.net;200;false;true;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http://www;404;true;false;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http://pitest.org/;200;false;true;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;https://code.google.com/p/randoop/;200;false;true;true;false;other;false
ICSE;2014;p435-inozemtseva.pdf;http://dwheeler.com/sloccount;666;false;false;true;false;other;false
ICSE;2014;p48-yu.pdf;http://dx.doi.org/10.1145/2568225.2568294;403;false;false;false;true;other;false
ICSE;2014;p48-yu.pdf;http://docs.oracle.com/javase/tutorial;200;false;true;true;false;other;false
ICSE;2014;p48-yu.pdf;http://jigsaw.w3.org;200;false;true;true;false;other;false
ICSE;2014;p48-yu.pdf;http://logging.apache.org/log4;404;false;false;true;false;other;false
ICSE;2014;p48-yu.pdf;http://www.sable.mcgill.ca/soot/;200;false;true;true;false;other;false
ICSE;2014;p48-yu.pdf;http://weblech.sourceforge.net;200;false;true;true;false;other;false
ICSE;2014;p480-liu.pdf;http://dx.doi.org/10.1145/2568225.2568277;403;false;false;false;true;other;false
ICSE;2014;p480-liu.pdf;http://www.cse.ust.hk/prism/MGL/TR.pdf;200;false;true;false;false;other;false
ICSE;2014;p480-liu.pdf;http://www.javacodegeeks.com/2012/07/;200;false;true;true;false;other;false
ICSE;2014;p503-manotas.pdf;http://dx.doi.org/10.1145/2568225.2568297;403;false;false;false;true;other;false
ICSE;2014;p503-manotas.pdf;http://java.dzone.com/articles/java-collection-performance;200;false;true;false;false;other;false
ICSE;2014;p503-manotas.pdf;http://javolution.org;200;false;true;false;false;other;false
ICSE;2014;p503-manotas.pdf;http://fastutil.di.unimi.it;200;false;true;false;false;academic;false
ICSE;2014;p503-manotas.pdf;http://commons.apache.org/proper/commons-collections;200;false;true;false;false;other;false
ICSE;2014;p503-manotas.pdf;https://github.com/goldmansachs/gs-collections;200;false;true;false;false;github;false
ICSE;2014;p503-manotas.pdf;https://code.google.com/p/guava-libraries/;200;false;true;false;false;other;false
ICSE;2014;p503-manotas.pdf;http://asm.ow2.org;200;false;true;false;false;other;false
ICSE;2014;p503-manotas.pdf;http://sir.unl.edu;200;false;true;false;false;other;false
ICSE;2014;p503-manotas.pdf;https://sourceforge.net;200;false;true;false;false;other;false
ICSE;2014;p503-manotas.pdf;http://commons.apache.org;200;false;true;false;false;other;false
ICSE;2014;p503-manotas.pdf;http://web;404;false;false;true;false;other;false
ICSE;2014;p503-manotas.pdf;http:;404;false;false;false;false;other;false
ICSE;2014;p503-manotas.pdf;http://lasr.cs.ucla.edu/deep/FrontPage?action=;404;false;false;true;false;other;false
ICSE;2014;p503-manotas.pdf;http://wala.sf.net;200;false;true;true;false;other;false
ICSE;2014;p503-manotas.pdf;https://www.wattsupmeters.com/secure/;200;false;true;true;false;other;false
ICSE;2014;p515-nikzad.pdf;http://dx.doi.org/10.1145/2568225.2568288;403;false;false;false;true;other;false
ICSE;2014;p515-nikzad.pdf;http://androidannotations.org/;200;false;true;true;false;other;false
